target,edges,index_0,index_1,index_2,index_3,index_4,index_5,index_6,index_7,index_8,index_9,id_0,id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9
"(-73.98617676425478, 40.75986955742002)","[(-73.9849, 40.7593), (-73.9875, 40.7604)]",80238,53218,42849,40282,42294,81089,73608,44687,71243,47917,329000348569135,273544841127628,163456029048162,199652211850389,132395565599475,515973976090808,320426969524577,2553271324979112,351121870279724,363889562384630
"(-73.98497887534417, 40.75896355018685)","[(-73.9849, 40.7593), (-73.9851, 40.7586)]",49999,30408,79652,78832,79177,50557,59873,86715,71468,35412,432799715058562,293825416212842,720321172668468,4546519572122517,1139660129939358,520647206269980,1127139897843821,519987543129034,1170185233387813,1971209976392973
"(-73.98889573721642, 40.76100700870759)","[(-73.9875, 40.7604), (-73.9903, 40.7616)]",68515,85023,73769,27977,34822,55635,46641,41104,65531,79493,306493494283514,498326044653304,181666237155215,379128410030245,534896194563183,327073865511452,387416585639197,375252813730553,196759192287017,887485821797203
"(-73.98724650108034, 40.76072265022592)","[(-73.9875, 40.7604), (-73.9870, 40.7610)]",84826,79173,86878,33266,61095,79865,47426,78745,40255,76400,468827994208284,851978298723570,773090730040289,325104805699252,2789372844707275,558891791761990,463202088274900,831630191104754,515517586271945,334130078147542
"(-73.98449729933829, 40.75997705045108)","[(-73.9848, 40.7601), (-73.9842, 40.7598)]",72669,71256,61284,49205,53601,47397,79365,84383,61204,45039,371650694253147,1004077910182353,3032301433684585,459581625342049,154852649912351,274279961020759,243608670880634,4430422916985629,256090816299372,231792488706628
"(-73.98484942495871, 40.759721700146734)","[(-73.9848, 40.7601), (-73.9849, 40.7593)]",73177,84213,28804,85349,72298,28132,88373,44767,87596,45621,763189718394307,3173135449641958,2039476729525736,685182715812979,347196054132978,672177057221736,676466670347232,1041782753362237,562344798642196,642956633603480
"(-73.98452612614165, 40.75958565067826)","[(-73.9842, 40.7598), (-73.9849, 40.7593)]",38999,52297,77422,85948,41830,52030,39132,34943,89243,42994,166623829051831,690726165384195,159387999881183,284312090532035,351065283462644,367339205357527,669909067396106,372633878136595,516574823326352,977822089764116
"(-73.98554334335515, 40.76123585451423)","[(-73.9845, 40.7608), (-73.9866, 40.7617)]",76772,73261,66445,72858,80206,44004,82888,85241,38671,82598,4399843240048620,307776800972921,3877319132304876,468397384395254,1182663822207272,1694365020898561,322749409747686,717569532560706,390819815368820,1588682668199712
"(-73.98467060077955, 40.7604585500971)","[(-73.9845, 40.7608), (-73.9848, 40.7601)]",61247,60094,35024,48764,50587,57701,46603,81385,71706,79941,386377574375940,512902886514379,321931252624107,288189992860895,1171035710479365,364607731638490,930803357669692,1120636105098069,8300099576672086,473435537236034
"(-73.98798388726533, 40.762264708675175)","[(-73.9866, 40.7617), (-73.9894, 40.7629)]",82279,51765,58216,77240,58222,79029,82727,78752,72939,74768,504245494355240,410877150307470,804170577202364,377043773626682,343732223757751,301305561579985,1107895033051674,217187179898406,250018030204258,291343062711207
"(-73.98633360109557, 40.761980900233276)","[(-73.9866, 40.7617), (-73.9861, 40.7623)]",76858,66449,55062,83855,51936,39771,79138,83852,62405,32365,307635027625892,818069592423030,453270185777060,2937722636476371,514029066398374,1035124097923780,833360138481994,307687328629858,759330655959742,844480027402797
"(-73.98430945102655, 40.761127150192415)","[(-73.9841, 40.7615), (-73.9845, 40.7608)]",62408,56699,79131,88710,77186,35903,66455,85818,50432,61841,459447665121987,277263570757949,1080173493077390,282753643394570,347691058317020,275719088963670,485811029135145,161775709203083,943017724180278,2935750670077822
"(-73.98466314385162, 40.762500704186756)","[(-73.9837, 40.7621), (-73.9856, 40.7629)]",62053,52509,35233,53086,54496,50621,39290,71588,71420,63789,263209382214622,380945123157953,4285429018156067,311507343698780,143227834453354,463068538105816,529242985108796,2653418621623019,156766689732701,4332783393407015
"(-73.98388825100416, 40.76176805019041)","[(-73.9837, 40.7621), (-73.9841, 40.7615)]",71024,28387,74824,65016,51731,78800,39081,49318,35420,87618,3711328178993749,288938016160445,219893716233932,326683865477664,529889618002947,313693756951445,487600182672747,1588661981707405,184003483582789,3861429670756566
"(-73.98706878720878, 40.763514008710764)","[(-73.9856, 40.7629), (-73.9885, 40.7641)]",55638,63273,57429,48094,32737,57721,55621,83937,42625,65901,788298398418552,833303107577435,293647628901165,285080423330430,866479313933269,762483251582534,1189983471831092,518312852893081,164536139288250,347905240611119
"(-73.98542095109536, 40.76323610022268)","[(-73.9856, 40.7629), (-73.9852, 40.7636)]",35017,46010,78227,72120,80644,28064,82088,36084,60689,28765,328464986504693,853540879418533,845421750382883,618454243537330,338188428679368,279283431703199,197449635368990,501515564318863,714700783845005,3381005412141281
"(-73.98411339895642, 40.760633650715576)","[(-73.9837, 40.7605), (-73.9845, 40.7608)]",33445,85407,49803,61535,44547,32847,59317,45276,58443,69115,215076886820518,1149497928887111,405090935003867,807580500158904,5553178141422292,156592909810877,384133939390322,327398302145945,257182252758139,1387849761725950
"(-73.98394010109487, 40.7601521502361)","[(-73.9837, 40.7605), (-73.9842, 40.7598)]",71625,59506,45168,83065,65004,51033,33827,89234,53786,48801,129247959172213,810247646533181,917679609011783,179005964103954,288139069684311,178446041372699,506534274308925,113215491262283,1310119316140482,569794954514088
"(-73.98963040108234, 40.76254715022573)","[(-73.9894, 40.7629), (-73.9899, 40.7622)]",78037,60232,27465,35151,64345,71637,38678,35743,38614,81413,974022146686659,202833891670750,316763800033593,770673866971894,157128219707105,460947588331075,272347421250630,478728673340310,308030967596706,234060891820827
"(-73.98509969364362, 40.76187220432775)","[(-73.9861, 40.7623), (-73.9841, 40.7615)]",30858,63311,83040,74609,36481,60409,39116,26908,35666,40766,922706945229991,505134270848915,488420905689481,796006924685751,209836557394367,455918618840656,793674027959866,237730541456288,293659355702763,738601283503024
"(-73.98587460105897, 40.76260485022141)","[(-73.9861, 40.7623), (-73.9856, 40.7629)]",32506,82796,77662,81499,61812,89166,55889,88323,72687,76544,838229076789899,1793267327811210,1963198880723906,1755587528225713,846888086750357,277390148579384,261647403505985,880775213727118,865510918090908,350005194135362
"(-73.98843838721712, 40.761634558710675)","[(-73.9899, 40.7622), (-73.9870, 40.7610)]",88674,34279,60881,42549,54086,47106,38039,72260,31979,83090,311472590529530,488255025851243,1399061260475037,501550181199958,1457836491083945,175451881140236,453056552455057,493306985153734,998425350963995,196776785500795
"(-73.99008765107867, 40.76191890022542)","[(-73.9899, 40.7622), (-73.9903, 40.7616)]",51676,49333,56780,51276,44861,35841,60347,64142,72765,72141,854679751925788,1775557202605381,477279596922923,272929601225101,535122441206900,484728786115975,2210461859088164,298044718482104,227948732001871,172288851373294
"(-73.98815715107905, 40.75947320022563)","[(-73.9884, 40.7592), (-73.9879, 40.7598)]",58252,26995,34781,74940,43152,60565,83422,70798,50792,47382,491482842049020,622198345845946,5464222233649879,3895137967206878,749995955689098,488972852153638,170834488287709,934566930448645,6300373009988191,479181770028655
"(-73.9898062372234, 40.75975740870753)","[(-73.9884, 40.7592), (-73.9912, 40.7604)]",31965,62937,61992,48709,81456,67525,58612,49670,41110,72731,191121962861139,896535837577311,765057024204341,925637711655234,483156816449066,326377848888023,2570524306583830,477617476783378,1695712230635379,179794390685160
"(-73.98650398724831, 40.75919185875721)","[(-73.9879, 40.7598), (-73.9851, 40.7586)]",82522,35754,54862,31443,68536,86440,41544,53098,65290,61492,303420291252937,457692771960783,311132323788856,460673645212386,3932803670166463,3011225579141361,994658981164757,765549340811057,477219033356714,651600689443107
"(-73.98770190106002, 40.7600978502216)","[(-73.9879, 40.7598), (-73.9875, 40.7604)]",87386,40040,63631,88806,61130,64339,29640,45252,53810,79821,4167620669968203,216922949818263,631068495902505,217023844722300,246772627893981,302061094778707,1038602730006676,317230674318421,1002822454270643,6679327962160927
"(-73.98861435107821, 40.758845900225424)","[(-73.9888, 40.7585), (-73.9884, 40.7592)]",29933,53454,49350,46992,73974,68840,83773,44354,33925,83665,563713397929844,1115449768947753,841478913107599,439015220410495,2982774345288797,300140061747170,200636408567227,206546977950155,892085588035950,245686817354236
"(-73.99054160104886, 40.76129590021925)","[(-73.9903, 40.7616), (-73.9908, 40.7610)]",74246,57030,86677,73768,57126,79816,32308,56893,55001,32661,517050469652679,766936684023609,475648177035812,834573343932447,850412418877510,478271816927391,349971313472677,456849352079911,944583399690148,491035062216940
"(-73.98591914236951, 40.76057480520815)","[(-73.9870, 40.7610), (-73.9848, 40.7601)]",32269,45025,75962,64285,82186,27126,64989,89194,47760,73017,935603280588386,1414742905569445,1150673948770405,469383937704329,775202449771865,182189193796427,470929343969477,519863142791067,315622086744310,1611300209055995
"(-73.98679190107212, 40.76135210022003)","[(-73.9870, 40.7610), (-73.9866, 40.7617)]",40833,76284,47480,53344,85521,87240,87942,30396,62503,87481,759574621592904,299540912818481,297774112880765,836232204658152,1044866973625451,334033188992272,1311198082864259,977823389959191,261546549605625,998567341427741
"(-73.98990933722337, 40.76471045870039)","[(-73.9885, 40.7641), (-73.9913, 40.7653)]",24540,2714,1815,17281,21698,23038,20224,3617,1810,4070,883259625562586,1126969504452601,527743481557171,214692210177191,191122866197327,315163550176216,1230620230687820,4619108898116749,2101690586653023,1114881448993783
"(-73.98871620106131, 40.763801250221796)","[(-73.9885, 40.7641), (-73.9889, 40.7635)]",38325,53028,73932,87189,30035,42718,61304,56306,36519,31337,1799777256892526,505030480625779,334732261542432,434792594325466,501329284344503,168518878531655,1074247973098476,1083829122141622,153754939941143,311320690363152
"(-73.98496755102636, 40.76385810022092)","[(-73.9852, 40.7636), (-73.9847, 40.7642)]",73875,44370,67391,39320,48503,75726,32066,57448,68971,82412,1733378713794450,642688374616920,721776823126509,699026398487216,270613589271019,1310762256216298,1983034192063853,707045814790070,1314152812581246,315209954452805
"(-73.98450505113483, 40.764478850240884)","[(-73.9847, 40.7642), (-73.9843, 40.7648)]",10927,22213,10349,8331,17534,2868,12731,25850,12875,9797,460975161825685,976404233111177,282247806782072,552269462597207,960537251152814,816307475662283,173924341321842,303027038212361,841277536463966,460480898350401
"(-73.98615823714178, 40.7647627086649)","[(-73.9847, 40.7642), (-73.9876, 40.7654)]",4590,3033,8454,24542,26743,23731,5288,1452,5873,5665,200069365293338,758704824804797,475912843489045,1002516990287451,281695923675264,3928151510634410,1352972831837449,1196971794376567,458487819320195,305852871074568
"(-73.98404485108084, 40.76511885021645)","[(-73.9843, 40.7648), (-73.9838, 40.7654)]",23929,8546,12679,25954,21964,17151,12843,6788,18580,5145,1359625841097230,294439208824076,495439881514398,520136262341067,282094666961604,974731283335582,882440002412780,497819778230025,760126241340400,936637050429924
"(-73.98779920103254, 40.76505945021654)","[(-73.9876, 40.7654), (-73.9880, 40.7648)]",11493,11987,2577,4769,19917,21376,6629,17103,11934,13807,2983205775294373,522111052132503,299418071855810,180024184009762,373058697445297,481294729846859,1100221384118018,327819445524029,938463783362224,221880109327174
"(-73.98900023732504, 40.765956908764295)","[(-73.9876, 40.7654), (-73.9904, 40.7665)]",4127,9240,17924,23705,21087,19970,8050,3519,25320,24213,503988060953141,511803183180327,287780602997739,821413308760133,1056414214889512,309732234011107,1079766109200312,492941298494426,3768934696567482,1837168306450579
"(-73.98359875098994, 40.76573575021298)","[(-73.9838, 40.7654), (-73.9834, 40.7660)]",26417,5974,8179,10978,25340,1555,24550,20397,23370,18178,1121278598378466,150015190473155,5514602788581574,1281212769201902,352506880462767,303066371352724,2844282349128103,278136214024648,2955943647952471,1063247281357993
"(-73.98524443717878, 40.76603815874585)","[(-73.9838, 40.7654), (-73.9867, 40.7666)]",11484,20940,4022,10577,14763,26479,164,114,15049,9278,1395875880770418,241659317727972,164082432385952,140729598043199,181370880522807,220787416521393,761445411234269,814527142775043,299426928329904,501164290930294
"(-73.98689670110639, 40.76631520022574)","[(-73.9867, 40.7666), (-73.9871, 40.7660)]",11135,13717,4996,23011,7708,2985,7775,11714,9158,18751,2945380692367140,223956812484253,265140928417927,930170927816364,761518164545611,324778429062462,201348841831209,370733697701141,249245990316122,517242239300449
"(-73.98752198721581, 40.76289210871318)","[(-73.9889, 40.7635), (-73.9861, 40.7623)]",37168,35014,36645,40933,58770,47396,38516,73072,38414,51102,296934745486334,924339378362109,467786837862796,467311217909241,2962051200782775,280649457039231,1195159764259342,797033180950352,775977453087303,799300061019230
"(-73.98917230108447, 40.76317590022711)","[(-73.9889, 40.7635), (-73.9894, 40.7629)]",59042,73277,88893,79300,71469,77132,73968,42064,75152,50956,303858491199776,136716875157927,485198249455861,3037456013208115,468882234184050,1174330299654883,901010987413125,1812458742263955,839195710026518,1431859163832518
"(-73.98569708715239, 40.76539590880429)","[(-73.9871, 40.7660), (-73.9843, 40.7648)]",26518,17753,25719,11209,21697,10216,8481,25163,2017,4431,573524750280473,1888113804699762,331875825021950,805924123652220,459169568485052,4324090614302145,614967466127752,368166281304971,940113743408126,851839142079244
"(-73.98735030106243, 40.76567975021829)","[(-73.9871, 40.7660), (-73.9876, 40.7654)]",24395,25876,14531,9323,1522,13172,7751,6299,3822,23048,2955480934697105,556108865774164,535105930838300,1927526487395090,303570714724171,902535190314534,359200152208251,469607930780130,4409108879110644,159936052744357
"(-73.99099685109151, 40.76067095022801)","[(-73.9908, 40.7610), (-73.9912, 40.7604)]",81120,63293,80225,54817,59588,71579,75048,64567,54518,84244,156422313157955,5497063507030817,150811526948278,789202441984413,162667055788438,1399893827033405,282382456957663,2917294195208527,243870077489656,1107859553014993
"(-73.98934773719229, 40.76038675869286)","[(-73.9908, 40.7610), (-73.9879, 40.7598)]",28648,29121,57127,30182,87504,31836,64278,75968,66906,27795,157599253051234,306372984399218,508939780276842,483198399689475,3532973826802176,538084867577332,174304917922864,1357586737946410,578222103595603,726967735103280
"(-73.99109205113474, 40.76562650024272)","[(-73.9913, 40.7653), (-73.9909, 40.7659)]",9213,12423,11628,2565,12242,7608,2314,4062,10564,10760,138647481588429,128565945906388,911416409698378,2906718566322699,841765150030845,179923157374823,2966213413703935,200604238442685,193254129325233,1483266205349716
"(-73.98825635112381, 40.76443275023459)","[(-73.9880, 40.7648), (-73.9885, 40.7641)]",17969,16646,16512,13703,8369,25337,22350,14696,26630,25086,474254893676641,505197420518017,2274245226053025,260912982448130,158782569536986,3927595760687913,233566665209520,508142066885371,805985150318880,321845639571030
"(-73.98660848726571, 40.76415485863736)","[(-73.9880, 40.7648), (-73.9852, 40.7636)]",24070,4293,16165,20873,1039,20773,7845,9819,22715,13237,174642794580546,857562718169393,307819020782649,175124661163145,143874440990719,5747262918633616,3246942388867210,5477416355604047,551141172843535,121353860426763
"(-73.99064010097531, 40.766246250199124)","[(-73.9909, 40.7659), (-73.9904, 40.7665)]",24979,22066,7389,1706,26754,5053,18051,24990,22543,6419,2530243373949785,965722930871004,316314173201824,1322009518213638,2956197561336519,320806329552284,160542282662143,1846853102163231,1091332001354424,512818426518722
"(-73.98943903730915, 40.765348808651474)","[(-73.9909, 40.7659), (-73.9880, 40.7648)]",24418,16077,18063,12022,14171,21719,8192,16137,6158,270,153497953396368,167731831934525,511252580232923,1114121365734547,2977324789178094,966072950598450,315635650077848,784416915796818,788734018679970,457777712174549
